Gruppe,enthalten in,Rückgabetyp,Name,Parameter,Beschreibung
,<BD>\BIN\BGReportEngine.sct,string,CTORPTGetTableName,,
,<BD>\BIN\BGReportEngine.sct,long,CTO_RE_EXCLUDE_LST,,"Wird bei der Funktion CTOShowReportDialog im Parameter ScanOptions angegeben.
Legt fest, das Berichte aus dem LST Verzeichnis nicht angezeigt werden."
,<BD>\BIN\BGReportEngine.sct,long,CTO_RE_EXCLUDE_RPT,,"Wird bei der Funktion CTOShowReportDialog im Parameter ScanOptions angegeben.
Legt fest, das Berichte aus dem rpt Verzeichnis nicht angezeigt werden."
,<BD>\BIN\BGReportEngine.sct,long,CTO_RE_EXCLUDE_CLIENT,,"Wird bei der Funktion CTOShowReportDialog im Parameter ScanOptions angegeben.
Legt fest, das Berichte aus dem client Verzeichnis nicht angezeigt werden."
,<BD>\BIN\BGReportEngine.sct,long,CTO_RE_EXCLUDE_DEFAULT,,"Wird bei der Funktion CTOShowReportDialog im Parameter ScanOptions angegeben.
Legt fest, das Berichte aus dem default Verzeichnis nicht angezeigt werden."
,<BD>\BIN\BGReportEngine.sct,long,CTO_RE_EXPORT_PDF,,"Wird bei der Funktion CTOExportReport / BGExportReport im Parameter __ExportFormat angegeben.
Legt fest, das ein Bericht als PDF exportiert wird.
Einfacher ist es, die Funktion CTOExportReportPDF / BGExportReportPDF zu verwenden."
,<BD>\BIN\BGReportEngine.sct,long,CTO_RE_EXPORT_RTF,,"Wird bei der Funktion CTOExportReport / BGExportReport im Parameter __ExportFormat angegeben.
Legt fest, das ein Bericht als RTF exportiert wird.
Einfacher ist es, die Funktion CTOExportReportRTF / BGExportReportRTF zu verwenden."
,<BD>\BIN\BGReportEngine.sct,long,CTO_RE_EXPORT_WORD,,"Wird bei der Funktion CTOExportReport / BGExportReport im Parameter __ExportFormat angegeben.
Legt fest, das ein Bericht als doc exportiert wird.
Einfacher ist es, die Funktion CTOExportReportWORD / BGExportReportWORD zu verwenden."
,<BD>\bin\BGReportEngine.sct,void,BGShowReport,"string __ReportKennung,string __TableName,string __FieldName,string __Records,string __Conditions",Zeigt einen Bericht auf dem Bildschirm an. Es muss die Kennung des Berichtes angegeben werden die beim Bericht im OPM Dialog unter Kennung eingetragen werden kann.
,<BD>\BIN\BGReportEngine.sct,void,BGExportReportPDF,"string __ExportFileName,string __ReportKennung,string __TableName,string __FieldName,string __Records,string __Conditions",Exportiert den Bericht als PDF
,<BD>\BIN\BGReportEngine.sct,void,BGExportReportRTF,"string __ExportFileName,string __ReportKennung,string __TableName,string __FieldName,string __Records,string __Conditions",Exportiert den Bericht als RTF
,<BD>\BIN\BGReportEngine.sct,void,BGExportReportWORD,"string __ExportFileName,string __ReportKennung,string __TableName,string __FieldName,string __Records,string __Conditions",Exportiert den Bericht als Word
,<BD>\BIN\BGReportEngine.sct,void,BGExportReportRDEF,"string __ExportFileName,string __ReportKennung,string __TableName",Exportiert die Berichtsdefinition als .txt Datei
,<BD>\BIN\BGReportEngine.sct,long,CTO_RE_EXPORT_RDEF,,"Wird bei der Funktion BGExportReport im Parameter __ExportFormat angegeben.
Legt fest, das ein Bericht als TXT-Berichtsdefinition exportiert wird.
Einfacher ist es, die Funktion BGExportReportRDEF zu verwenden."
,<BD>\BIN\BGReportEngine.sct,string,BGGetCrystalDirectory,,Gibt das Verzeichnis von CrystalReports zurück.
,<BD>\BIN\BGReportEngine.sct,string,BGGetCrystalVersion,,Gibt die Version von CrystalReports zurück.
,<BD>\BIN\BGReportEngine.sct,void,BGPrintReport,"string __ReportKennung,string __TableName,string __FieldName,string __Records,string __Conditions,long __Kopien","Beim Parameter __Records werden die ID der Datensätze übergeben.
Mehrere Datensätze können mit ; getrennt übergeben werden.

Der Parameter __Conditions dienst zur Übergabe von Parametern an den Bericht. Damit die Abfrage der Parameter nicht angezeigt wird, muss der erste Parameter ""USEONLYCONDITIONS=TRUE;"" heissen. 
Der Syntax lautet: BERICHTSPARAMETER=WERT;BERICHTSPARAMETER=WERT;?
Beispiel: ""USEONLYCONDITIONS=TRUE;PERIODE_VON=01.01.2015;PERIODE_BIS=31.12.2015"""
Kalkulation,<BD>\BIN\BGReportEngine.sct,long,CTOCalculateVK,long __AufId,"Ruft die Vorkalkulation für den angegebenen Auftrag auf.
Die Kalkulation wird durchgeführt nach den Regeln der Nachkalkulation und ist identisch wie wenn man einen Vorkalkulationsbericht aufruft.
Diese Vorkalkualtion bezieht sich auf die Vorkalkulation auf Betriebsaufträge und NICHT die Vorkalkulation in der GPE."
,<BD>\BIN\BGReportEngine.sct,long,CTOCalculateNK,long __AufId,"Ruft die Nachkalkulation für den angegebenen Auftrag auf.
Die Kalkulation wird durchgeführt nach den Regeln der Nachkalkulation und ist identisch wie wenn man einen Nachkalkulationsbericht aufruft."
,<BD>\BIN\BGReportEngine.sct,long,BGCalculatePK,"long __AufId,long __lKalkSchemaId,long __lKaAnsMatId,long __lKaAnsFertId,long __lKaAnsZuschId","Ruft die Periodenkalkulation für den angegebenen Auftrag mit den angegeben Schema und den Ansätzen auf. Wenn diese Wert 0 sind, wird das Standardverfahren angewendet."
,<BD>\BIN\BGReportEngine.sct,long,CTOCalculateVKNK,long __AufId,"Ruft den Vor- Nachkalkulationsvergleich für den angegebenen Auftrag auf.
Die Kalkulation wird durchgeführt nach den Regeln der Nachkalkulation.
D.h. es wird auch das Kalkualtionsschema der Nachkalkulation verwendet.
Die Daten werden in der Tabelle AUF_KALKW_VN erzeugt."
,<BD>\BIN\BGReportEngine.sct,long,CTOCalculatePK1,"long __AufId,string __PerVon,string __PerBis","Ruft die Periodenkalkulation PK1 mit dem angegebenen Datum auf.
Die Kalkulations wird durchgeführt nach den Regeln der PK1."
,<BD>\BIN\BGReportEngine.sct,long,CTOCalculatePK2,"long __AufId,string __PerVon,string __PerBis","Ruft die Periodenkalkulation PK1 auf mit der angegebenen Periode.
Die Kalkulation wird durchgeführt nach den regeln der PK2."
,<BD>\BIN\BGReportEngine.sct,long,BGCalculateNK,"long __AufId,long __lKalkSchemaId,long __lKaAnsMatId,long __lKaAnsFertId,long __lKaAnsZuschId","Ruft die Nachkalkulation für den angegebenen Auftrag mit den angegeben Schema und den Ansätzen auf. Wenn diese Wert 0 sind, wird das Standardverfahren angewendet."
,<BD>\BIN\BGReportEngine.sct,long,CTOCalculatePK,long __AufId,"Ruft die Kalkulation für die Periodenkalkulation auf.
Ist identisch mit der normalen Kalkulation."
,<BD>\BIN\BGReportEngine.sct,long,BGCalculatePK1,"long __AufId,string __PerVon,string __PerBis,long __lKalkSchemaId,long __lKaAnsMatId,long __lKaAnsFertId,long __lKaAnsZuschId","Ruft die Periodenkalkulation 1 für den angegebenen Auftrag mit den angegeben Schema und den Ansätzen auf. Wenn diese Wert 0 sind, wird das Standardverfahren angewendet."
,<BD>\BIN\BGReportEngine.sct,long,BGCalculatePK2,"long __AufId,string __PerVon,string __PerBis,long __lKalkSchemaId,long __lKaAnsMatId,long __lKaAnsFertId,long __lKaAnsZuschId","Ruft die Periodenkalkulation 2 für den angegebenen Auftrag mit den angegeben Schema und den Ansätzen auf. Wenn diese Wert 0 sind, wird das Standardverfahren angewendet."
,<BD>\BIN\BGReportEngine.sct,long,BGCalculateVK,"long __AufId,long __lKalkSchemaId,long __lKaAnsMatId,long __lKaAnsFertId,long __lKaAnsZuschId,long __lPKRzVarId","Ruft die Vorkalkulation für den angegebenen Auftrag mit den angegeben Schema und den Ansätzen auf. Wenn diese Wert 0 sind, wird das Standardverfahren angewendet.

Diese Vorkalkualtion bezieht sich auf die Vorkalkulation auf Betriebsaufträge und NICHT die Vorkalkulation in der GPE."
,<BD>\BIN\BGReportEngine.sct,long,BGCalculateVKNK,"long __AufId,long __lKalkSchemaId,long __lKaAnsMatIdVK,long __lKaAnsFertIdVK,long __lKaAnsZuschIdVK,long __lPKRzVarIdVK,long __lKaAnsMatIdNK,long __lKaAnsFertIdNK,long __lKaAnsZuschIdNK","Ruft den Vor- Nachkalkulationsvergleich für den angegebenen Auftrag mit den angegeben Schema und den Ansätzen auf. Wenn diese Wert 0 sind, wird das Standardverfahren angewendet.

Die Daten werden in der Tabelle AUF_KALKW_VN erzeugt."
,<BD>\BIN\BGReportEngine.sct,long,CTOCalculateVKPK,long __AufId,"Ruft den Vor- Periodenkalkulationsvergleich für den angegebenen Auftrag auf.
Die Kalkulation wird durchgeführt nach den Regeln der Nachkalkulation.
D.h. es wird auch das Kalkualtionsschema der Nachkalkulation verwendet.
Die Daten werden in der Tabelle AUF_KALKW_VN erzeugt."
,<BD>\BIN\BGReportEngine.sct,long,BGCalculateVKPK,"long __AufId,long __lKalkSchemaId,long __lKaAnsMatIdVK,long __lKaAnsFertIdVK,long __lKaAnsZuschIdVK,long __lPKRzVarIdVK,long __lKaAnsMatIdPK,long __lKaAnsFertIdPK,long __lKaAnsZuschIdPK","Ruft den Vor- Periodenkalkulationsvergleich für den angegebenen Auftrag mit den angegeben Schema und den Ansätzen auf. Wenn diese Wert 0 sind, wird das Standardverfahren angewendet.

Die Daten werden in der Tabelle AUF_KALKW_VN erzeugt."
Global,<BD>\bin\BGScriptRTL.dll,string,SelectPrinter,,Ruft den Druckerauswahldialog auf und gibt den ausgewählten Drucker zurück.
,<BD>\bin\BGScriptRTL.dll,long,BSSystemCall,"string _g_programm_call,long _g_hide_mwnd",Ruft ein Programm oder ein Dokument auf
,<BD>\bin\BGScriptRTL.dll,double,Round,"double _value_to_round,long _nk_stellen,long _rundungs_basis",Rundet die angegebene Zahl mathematisch.
,<BD>\bin\BGScriptRTL.dll,string,GetLastSystemError,,"Gibt den letzten Fehler des Betriebssystems der z.B. bei Dateioperationen aufgetereten ist, zurück."
,<BD>\bin\BGScriptRTL.dll,string,today,,Gibt das aktuelle Datum zurück.
,<BD>\bin\BGScriptRTL.dll,double,BSGetSystemTicksAsSeconds,,"Die Funktion liefert die Zeit in Sekunden seit Systemstart (Betriebssystem). Wenn diese mit 1000 multipliziert wird dann kann diese als Ersatz für die LIST_ID verwendet werden wenn eigene Einträge gemacht werden.
Sie kann auch für Geschwindigkeitsmessungen verwendet werden."
,<BD>\bin\BGScriptRTL.dll,double,BSGetTimeDiffAsSeconds,"long __h1,long __m1,long __s1,long __ms1,long __h2,long __m2,long __s2,long __ms2",Die Funktion liefert die Differenz in Sekunden zwischen zwei Zeiten.
,<BD>\bin\BGScriptRTL.dll,long,BSSystemCallRaw,"string _g_programm_call,long _g_hide_mwnd","Ruft ein Programm oder ein Dokument auf, übergibt allerdings keine BormParamter (wie z.B. Loginuser etc.)"
,<BD>\bin\BGScriptRTL.dll,long,BSSystemCallWithOptions,"string _g_programm_call,long _g_options","Ruft ein Programm oder ein Dokument auf. Folgende Optionen können mitgegeben werden:
- BSSYSTEMCALL_HIDE_MAIN_WINDOW (Das Hauptfenster (Borm) wird versteckt und wartet, bis der Batchaufruf beendet wird)
- BSSYSTEMCALL_RAW (Es werden keine zusätzlichen Bormparameter, wie z.B. LOGINUSER, an den Programmaufruf übergeben.) 
- BSSYSTEMCALL_HIDE_CONSOLE (Versteckt die Konsole bei Batchaufrufen während der Ausführung)."
Datenbank,<BD>\bin\BGScriptRTL.dll,string,BGPrepareSqlSearchString,string __sSQLSearchString,"Mit dieser Funktion können Such-Strings in SQL fähige Such-Strings umgewandelt werden.

Gängige SQL Wildcards escapen. 
_ (Unterstrich) ==> [_]
' ==> ''
% ==> [%]
Es wird nur der Stern als Suchzeichen zugelassen.
* => %
? ==> _"
Filehandling,<BD>\bin\BGScriptRTL.dll,long,CopyDir,"string __cSrcDir,string __cDestDir","Kopiert ein Verzeichnis in ein anderes Verzeichnis.
Es wird der komplette Verzeichnissinhalt mitkopiert
inklusive allen Unterstrukturen (Verzeichnisse und Dateien).
Wenn das Zeilverzeinis nicht exisitert so wird es angelegt.
Vorhandene gleichnamige Dateien werden durch die kopierten überschrieben.
Wenn die Funktion ""1"" zurück gibt war der Vorgang erfolgreich.
Wenn die Funktion ""0"" zurück gibt war der Vorgang nicht erfolgreich.
und es kann mit der Funktion ""GetLastSystemError()"" abgefragt weden,
was nicht funkitoniert hat."
,<BD>\bin\BGScriptRTL.dll,long,CopyFile,"string __cFileName,string __cDestination","Kopiert eine Datei.
Es müssen als Quelle und Ziel der vollständige Pfad und Dateinamen angegeben werden.
Die Zieldatei muss nicht gleich heissen wie die Quelldatei.
Der Zielpfad wo die Datei gespeichert werden soll, muss vorhanden sein,
ansonsten kann die Datei nicht kopiert werden.
Wenn die Funktion ""1"" zurück gibt war der Vorgang erfolgreich.
Wenn die Funktion ""0"" zurück gibt war der Vorgang nicht erfolgreich."
,<BD>\bin\BGScriptRTL.dll,long,CreateDir,string __cPathName,"Erzeugt alle nicht existierenden Verzeichnisse des angegebenen Pfades.
Wenn die Funktion ""1"" zurück gibt war der Vorgang erfolgreich.
Wenn die Funktion ""0"" zurück gibt war der Vorgang nicht erfolgreich."
,<BD>\bin\BGScriptRTL.dll,long,DeleteFile,string __cFileName,"Löscht die angegebene Datei. Sie wird ohne Rückfrage gelöscht und auch nicht in der Papierkorb verschoben.
Wenn die Funktion ""1"" zurück gibt war der Vorgang erfolgreich.
Wenn die Funktion ""0"" zurück gibt war der Vorgang nicht erfolgreich."
,<BD>\bin\BGScriptRTL.dll,long,FileExist,string __cFileName,"Prüft, ob die angegebene Datei existiert. Es muss der vollständige Pfad und Dateinamen angegeben werden."
,<BD>\bin\BGScriptRTL.dll,long,GetFileSize,string __filename,"Gibt die Grösse einer Datei in Byte zurück.
Für die Umrechung in gebräuchliche Grösse gelten folgende Werte:

1 Byte = 8 Bit
1 KB = 1024 Byte =8192 Bit
1 MB = 1024 KB = 1048576 Byte
1 GB = 1024 MB = 1048576 KB = 1073741824 Byte
1 TB = 1024 GB = 1048576 MB = 1073741824 KB"
,<BD>\bin\BGScriptRTL.dll,string,GetFirstSubDirectory, string,"Gibt das erste Verzeichnis unterhalb des angegebenen Verzeichnisses zurück.
Mit GetNextSubdirectory können dann die weiteren Unterverzeichnisse ermittelt werden."
,<BD>\bin\BGScriptRTL.dll,string,GetNextSubDirectory,,
,<BD>\bin\BGScriptRTL.dll,long,IsDirectory, string,
,<BD>\bin\BGScriptRTL.dll,long,IsFileNameValid,string __cFileName,
,<BD>\bin\BGScriptRTL.dll,long,IsReadOnly, string,
,<BD>\bin\BGScriptRTL.dll,long,MoveFile,"string __cFileName,string __cDestination",
,<BD>\bin\BGScriptRTL.dll,bool,OpenFileFind,"string __cPathName,string __Filter",
,<BD>\bin\BGScriptRTL.dll,bool,OpenFileFindRecursiv,"string __cPathName,string __Filter",
,<BD>\bin\BGScriptRTL.dll,long,RemoveAttribut,"string __cFile,string __cWhat",
,<BD>\bin\BGScriptRTL.dll,long,RemoveDir, string,ACHTUNG: funktioniert nur mit leeren Ordnern
,<BD>\bin\BGScriptRTL.dll,void,SetFileCurrentCreationTime,string __cFileName,
,<BD>\bin\BGScriptRTL.dll,void,SetFileCurrentModificationTime,string __cFileName,
,<BD>\bin\BGScriptRTL.dll,string,GetFileCreationDate,string __filename,"Gibt das Erstelldatum einer Datei zurück.
Zu beachten ist, das das Erstelldatum beim kopieren einer Datei neu egsetzt wird, aber das Änderungsdatum sich damit nicht ändert."
,<BD>\bin\BGScriptRTL.dll,string,GetFileAttributes, string,"Gibt die Dateiattribute einer angegebenen Datei zurück.
Es werden folgende Buchstaben zurückgegeben:

A = Archiv
H = Versteckte Datei (Hidden)
S = Systemdatei bzw -Ordner
R = Schreibgeschützt (Readonly) 

Die Buchstaben können auch kombiniert sein."
,<BD>\bin\BGScriptRTL.dll,string,GetFileModificationDate, string,Gibt das Änderungsdatum einer Datei zurück.
,<BD>\bin\BGScriptRTL.dll,string,GetFileModificationTime, string,Gibt die Änderungszeit im Format HH:MM:SS einer angegebenen Datei zurück.
,<BD>\bin\BGScriptRTL.dll,string,GetFileCreationTime, string,"Gibt die Zeit zurück wann eine Datei erstellt wurde.
Das Format ist HH:MM:SS 
15:44:25"
,<BD>\bin\BGScriptRTL.dll,string,GetFileRoot, string,
,<BD>\bin\BGScriptRTL.dll,string,GetFileTitle, string,Gibt den Dateinamen ohne Erweiterung zurück.
,<BD>\bin\BGScriptRTL.dll,string,GetFilePath, string,Gibt den Pfad einer mit vollständigem Pfad und Dateinamen angegebenen Datei zurück.
,<BD>\bin\BGScriptRTL.dll,string,ShowFileDialog,"string __bOpenFileDialog,string __sDefaultDirectory,string __sFilter","Zeigt den ""Datei öffnen""-Dialog an und gibt den ausgewählten Pfad und Dateinamen zurück
Um eine Default-Extension an den Dateinamen anzuhängen, muss der mitgegebene Filter folgende Kriterien erfüllen:
Format: desc|ext|desc|ext|| (mindestens ein Paar aus Description und Extension erforderlich, weitere beliebig)
Erste File Extension muss im Format xxx.yyy sein (xxx: beliebiger String, yyy: beliebige Endung, darf nicht leer sein)
File Description darf generell leer sein. Erste File Extension darf nicht leer sein.
Gültiges Beispiel für Filter-String: ""XML files|*.xml||"""
,<BD>\bin\BGScriptRTL.dll,string,ShowPathDialog,"string __sDefaultDirectory,string __sTitel,string __sDesc","Zeigt den ""Order öffnen"" Dialog an und gibt den ausgewählten Pfad zurück"
,<BD>\bin\BGScriptRTL.dll,string,GetFileFromPath,string __FilePath,"Gibt den Dateinamen ohne Pfad einer mit vollständigem Pfad und Dateiname angegebenen Datei zurück.
GetFileFromPath(""C:\temp\meineDatei.docx"") ergibt meineDatei.docx."
,<BD>\bin\BGScriptRTL.dll,string,GetPathFromFile,string __FilePath,Gibt den Pfad einer mit vollständigem Pfad angegebenen Datei zurück.
,<BD>\bin\BGScriptRTL.dll,string,GetNextFileFind,,Retourniert den nächsten Filenamen
,<BD>\bin\BGScriptRTL.dll,long,FileIsLocked,string __cFileName,"Prüft, ob die angegebene Datei geändert werden kann oder ob sie gesperrt ist. Wenn eine Datei gesperrt ist, kann dies verschiedene Ursachen haben. Wenn z.B. ein anderes Programm gerade auf die Datei zugreift oder wenn der Benutzer keine Rechte hat. Die Funktion gibt true zurück wenn die Datei nicht zum schreiben geöffnet werden kann, false wenn dies möglich ist."
,<BD>\bin\BGScriptRTL.dll,string,GetNextFileFindExt,long __FindBehavior,Retourniert den nächsten Filenamen anhand des definiert Verhaltens(__FindBehavior) )
,<BD>\bin\BGScriptRTL.dll,bool,RemoveDirForced,string __sPathName,"Löscht das angegebene Verzeichnis (_sPathName).
Sämtliche enthaltenen Dateien und Unterverzeichnisse werden mitgelöscht.
Retourniert true, wenn das Verzeichnis gelöscht werden konnte."
,<BD>\bin\BGScriptRTL.dll,string,BGFileDialogAsJson,"string __sDefaultDirectory,string __sFilter,long __lOptions","Dies ist eine interne Funktion. 
Es ist die Wrapper-Funktion ""BGFileDialog"" aus der Datei Borm.sct zu verwenden."
DialogManager,<BD>\bin\BGScriptRTL.dll,string,ChooseColor,,Ruft den Farbdialog auf und gibt die ausgewählte Farbe als RGB-Wert zurück
,<BD>\bin\BGScriptRTL.dll,string,BGFormatDoubleExt,"string _g_FormatString,double _g_FormatValue,string _g_TausenderTZ,string _g_DecimalTZ,long _g_FromRegistryTTZ","Formatiert eine Zahl mit Nachkommastellen. Wird der letzte Parameter _g_FromRegistryTTZ auf true gesetzt dann werden die Formatierungen für das Tausendertrennzeichen und die Dezimalselle aus der Regsitrierung, also nach der beim Benutzer eingestellten Zahlenformatierung ermittelt."
,<BD>\bin\BGScriptRTL.dll,string,BGFormatDoubleLocale,"double _g_value,long _g_precision","Formatiert eine Zahl mit dem Tausendertrennzeichen und Dezimaltrennzeichen
aus den lokalen Computer Einstellungen.
Und mit der gewünschten Anzahl Nachkommastellen, welche als zweiter parameter
an die Funktion übergeben wird."
,<BD>\bin\BGScriptRTL.dll,string,BGFormatLongLocale,long _g_value,"Formatiert eine Zahl mit dem Tausendertrennzeichen und Dezimaltrennzeichen
aus den lokalen Computer Einstellungen."
,<BD>\bin\BGScriptRTL.dll,string,ChooseColorExt,string __sCurrentColor,"Ruft den Farbdialog auf und gibt die ausgewählte Farbe als RGB-Wert zurück.
Es kann die aktuell gewählte Frabe im Parameter mitgegeben werden.
Wir der Dialog abgebrochen, kommt ein leerer String zurück!"
UserManagement,<BD>\bin\BGScriptRTL.dll,long,DeleteProg,"string __cProgName,string __cProgType",Löscht das angegebene Programm aus der Benutzerberechtigung
,<BD>\bin\BGScriptRTL.dll,long,DeleteProgPermission,"string __cProgName,string __cProgType,long __Level",Löscht den angegebenen Level des Programms aus der Benutzerberechtigung
,<BD>\bin\BGScriptRTL.dll,long,HasProgPermission,"string __cProgName,long __Level","Prüft, ob ein Benutzer das Recht auf das angegebene Programm mit dem angegebenen Level hat. Dies dient dazu, in Scripten kundenspezifische Berechtigungen zu vergeben. Die rechte können mit hilfe des Scriptes InsertProgPermission.sct eingefügt werden."
,<BD>\bin\BGScriptRTL.dll,long,InsertProgPermission,"string __cProgName,string __cProgDesc,string __cProgType,long __Level,string __cProgLevelDesc","Fügt eine Programmberechtigung ein. Der Level ist 0 wenn nur ein Recht bestehend soll. Gibt es mehrere Rechte für ein Script oder Programm gibt der Level das entsprechende Recht unter dem angegebenen Programm an.

Beispiel:
Nur ein Recht:

InsertProgPermission(""INSERMULTIFILES"", ""Mehrfachdokumente einfügen"", ""P"", 0,""Mehrfachdokumente einfügen"");

mehrere Rechte:

InsertProgPermission(""INSERMULTIFILES"", ""Mehrfachdokumente einfügen"", ""P"", 0,""Mehrfachdokumente einfügen"");

InsertProgPermission(""INSERMULTIFILES"", ""Mehrfachdokumente einfügen"", ""P"", 1,""nur BMP und JPG einfügen"");

InsertProgPermission(""INSERMULTIFILES"", ""Mehrfachdokumente einfügen"", ""P"", 2,""nur DOC einfügen"");"
,<BD>\bin\BGScriptRTL.dll,long,HasTablePermission,"string __cTableName,long __Level","Ermittel ob ein Benutzer das Recht auf die angegebene Tabelle mit dem angebenene Level hat. Auf Tabellen haben die Level folgende Bedeutung:

1 = Einfügen oder Ändern eines Datensatzes
2 = Löschen eines Datensatzes
3 = Datensatzstatus bei Änderungen ignorieren
4 = Datensätze aufdatieren"
ImageTools,<BD>\bin\BGScriptRTL.dll,short,CXIMAGE_FORMAT_BMP,,Konstante für CXImage Bildformat BMP
,<BD>\bin\BGScriptRTL.dll,short,CXIMAGE_FORMAT_GIF,,Konstante für CXImage Bildformat GIF
,<BD>\bin\BGScriptRTL.dll,short,CXIMAGE_FORMAT_JPG,,Konstante für CXImage Bildformat JPG
,<BD>\bin\BGScriptRTL.dll,short,CXIMAGE_FORMAT_PNG,,Konstante für CXImage Bildformat PNG
,<BD>\bin\BGScriptRTL.dll,short,CXIMAGE_FORMAT_ICO,,Konstante für CXImage Bildformat ICO
,<BD>\bin\BGScriptRTL.dll,short,CXIMAGE_FORMAT_TIF,,Konstante für CXImage Bildformat TIF
,<BD>\bin\BGScriptRTL.dll,short,CXIMAGE_FORMAT_PCX,,Konstante für CXImage Bildformat PCX
,<BD>\bin\BGScriptRTL.dll,short,CXIMAGE_FORMAT_WMF,,Konstante für CXImage Bildformat WMF
Konfigurationen,<BD>\bin\BGScriptRTL.dll,string,GetProfileString,"string _g_filename,string _g_section,string _g_key",Ermittelt den Wert aus einer INI Datei und gibt diesen als String zurück.
,<BD>\bin\BGScriptRTL.dll,long,GetProfileInt,"string _g_filename,string _g_section,string _g_key",Gibt den Wert aus einer INI Datei als long Zahl zurück. Siehe auch GetProfileString.
,<BD>\bin\BGScriptRTL.dll,string,GetAppName,,Gibt den namen der Apllikation zurück. Im Desktop wird CTOBASE zurückgegeben.
,<BD>\bin\BGScriptRTL.dll,string,GetAppParam,string _g_s,Gibt den Applikationsparameter zurück
,<BD>\bin\BGScriptRTL.dll,string,GetLanguageCode,,Gibt den 2 stelligen ISO Code der Sprache des Benutzers zurück. Dieser kann mit dem Programm CTOSetLanguage.exe eingestellt werden. Ist diese Einstellung nicht vorhanden wird die Einstellung des Betriebssystems verwendet. Das Programm CTOSetLanguage.exe dient nur dazu um zu Testzwecken die Sprache um zu stellen.
,<BD>\bin\BGScriptRTL.dll,string,GetStandardMailClient,,Liefert den Namen des Standard Mail Clients zurück.
,<BD>\bin\BGScriptRTL.dll,string,GetStandardWebbrowser,,Liefert den Namen des Standard Webbrowser zurück.
,<BD>\bin\BGScriptRTL.dll,string,BGGetStandardMailClient,,Retourniert den Namen des standard Mailclients als String
,<BD>\bin\BGScriptRTL.dll,string,BGGetStandardWebbrowser,,Retourniert den Namen des standard Webbrowsers als String
WebUtils,<BD>\bin\BGScriptRTL.dll,long,BGDownloadFile,"string __sFileURL,string __sFileName","Ermöglicht den Download von Dateien. Es wird der Inhalt der Serverantwort gespeichert. 
Dies gilt auch für den Fall, wenn der Server beim Aufruf der angegebenen URL keine eigentliche Datei zurückliefert, sondern HTML, JSON oder ähnliches. 
Der zweite Parameter gibt den kompletten Speicherort (inkl. Dateinamen und -endung) an. Es werden keine Konvertierungen durchgeführt.

Die Funktion retourniert im Erfolgsfall WEBUTILS_RESULT_SUCCESSFUL ansonsten
eine andere WebUtils-Konstante, die den entsprechenden Fehler repräsentiert.

Mit BGGetLastWebUtilsMessage() kann im Falle eines Misserfolgs die Fehlermeldung als String ausgegeben werden."
,<BD>\bin\BGScriptRTL.dll,long,BGDownloadFileWithCredentials,"string __sFileURL,string __sFileName,string __sUserName,string __sPassword","Entspricht der BGDownloadFile-Funktion, wobei dieser Funktion zusätzlich 
ein Username und ein Passwort mitgegeben wird, die den Download von URL's 
mit hinterlegtem Login ermöglicht.

Die Funktion retourniert im Erfolgsfall WEBUTILS_RESULT_SUCCESSFUL ansonsten
eine andere WebUtils-Konstante, die den entsprechenden Fehler repräsentiert.

Mit BGGetLastWebUtilsMessage() kann im Falle eines Misserfolgs die Fehlermeldung als String ausgegeben werden."
,<BD>\bin\BGScriptRTL.dll,long,BGDownloadFileWithCredentialsFromFile,"string __sFileURL,string __sFileName,string __sCredentialFilePath,string __sCredentialSection","Entspricht der BGDownloadFileWithCredentials-Funktion, wobei in dieser Funktion
der Username und das Passwort aus einem gecrypteten File ausgelesen werden.
Dabei handelt es sich um ein .scc File, dessen Pfad dem Parameter __sCredentialFilePath, 
entspricht. Dieses muss eine Sektion enthalten (__sCredentialSection), die
Einträge für den Usernamen und das Passwort enthält(siehe Beispiel).

[TEST]
UserName=test
Password=test123

Die Funktion retourniert im Erfolgsfall WEBUTILS_RESULT_SUCCESSFUL ansonsten
eine andere WebUtils-Konstante, die den entsprechenden Fehler repräsentiert.

Mit BGGetLastWebUtilsMessage() kann im Falle eines Misserfolgs die Fehlermeldung als String ausgegeben werden."
,<BD>\bin\BGScriptRTL.dll,long,BGUploadFileHTTP,"string __sFileName,string __sFieldName,string __sURL","Ermöglicht den POST-Upload von Files. Der erste Parameter(__sFileName)
entspricht dem hochzuladenden File inklusive Pfad und Endung. Der zweite 
Parameter (__sFieldName) beinhaltet den HTML-Fieldname, auf welchem die
POST-Message abgeschickt werden soll. Der letzte Parameter ist die
URL, auf der das File hochgeladen werden soll.

Die Funktion retourniert im Erfolgsfall WEBUTILS_RESULT_SUCCESSFUL ansonsten
eine andere WebUtils-Konstante, die den entsprechenden Fehler repräsentiert.

Mit BGGetLastWebUtilsMessage() kann im Falle eines Misserfolgs die Fehlermeldung als String ausgegeben werden."
